# # pES cross section (10^-38 cm^2/GeV) #   From Beacom & Farr & Vogel hep-ph/0205220 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-2.948972  2.288155e-03  2.288155e-03  2.288155e-03  2.287696e-03  2.287696e-03  2.287696e-03
-2.946671  2.300264e-03  2.300264e-03  2.300264e-03  2.299799e-03  2.299799e-03  2.299799e-03
-2.944370  2.312436e-03  2.312436e-03  2.312436e-03  2.311966e-03  2.311966e-03  2.311966e-03
-2.942069  2.324672e-03  2.324672e-03  2.324672e-03  2.324197e-03  2.324197e-03  2.324197e-03
-2.939768  2.336972e-03  2.336972e-03  2.336972e-03  2.336493e-03  2.336493e-03  2.336493e-03
-2.937467  2.349338e-03  2.349338e-03  2.349338e-03  2.348853e-03  2.348853e-03  2.348853e-03
-2.935166  2.361768e-03  2.361768e-03  2.361768e-03  2.361279e-03  2.361279e-03  2.361279e-03
-2.932865  2.374264e-03  2.374264e-03  2.374264e-03  2.373770e-03  2.373770e-03  2.373770e-03
-2.930564  2.386826e-03  2.386826e-03  2.386826e-03  2.386326e-03  2.386326e-03  2.386326e-03
-2.928263  2.399454e-03  2.399454e-03  2.399454e-03  2.398949e-03  2.398949e-03  2.398949e-03
-2.925962  2.412149e-03  2.412149e-03  2.412149e-03  2.411638e-03  2.411638e-03  2.411638e-03
-2.923661  2.424910e-03  2.424910e-03  2.424910e-03  2.424395e-03  2.424395e-03  2.424395e-03
-2.921360  2.437739e-03  2.437739e-03  2.437739e-03  2.437218e-03  2.437218e-03  2.437218e-03
-2.919059  2.450636e-03  2.450636e-03  2.450636e-03  2.450109e-03  2.450109e-03  2.450109e-03
-2.916758  2.463600e-03  2.463600e-03  2.463600e-03  2.463067e-03  2.463067e-03  2.463067e-03
-2.914457  2.476633e-03  2.476633e-03  2.476633e-03  2.476094e-03  2.476094e-03  2.476094e-03
-2.912156  2.489734e-03  2.489734e-03  2.489734e-03  2.489190e-03  2.489190e-03  2.489190e-03
-2.909855  2.502904e-03  2.502904e-03  2.502904e-03  2.502354e-03  2.502354e-03  2.502354e-03
-2.907554  2.516144e-03  2.516144e-03  2.516144e-03  2.515588e-03  2.515588e-03  2.515588e-03
-2.905253  2.529453e-03  2.529453e-03  2.529453e-03  2.528892e-03  2.528892e-03  2.528892e-03
-2.902952  2.542832e-03  2.542832e-03  2.542832e-03  2.542265e-03  2.542265e-03  2.542265e-03
-2.900651  2.556282e-03  2.556282e-03  2.556282e-03  2.555709e-03  2.555709e-03  2.555709e-03
-2.898350  2.569803e-03  2.569803e-03  2.569803e-03  2.569224e-03  2.569224e-03  2.569224e-03
-2.896049  2.583395e-03  2.583395e-03  2.583395e-03  2.582809e-03  2.582809e-03  2.582809e-03
-2.893748  2.597059e-03  2.597059e-03  2.597059e-03  2.596467e-03  2.596467e-03  2.596467e-03
-2.891447  2.610794e-03  2.610794e-03  2.610794e-03  2.610196e-03  2.610196e-03  2.610196e-03
-2.889146  2.624602e-03  2.624602e-03  2.624602e-03  2.623997e-03  2.623997e-03  2.623997e-03
-2.886845  2.638482e-03  2.638482e-03  2.638482e-03  2.637871e-03  2.637871e-03  2.637871e-03
-2.884544  2.652436e-03  2.652436e-03  2.652436e-03  2.651818e-03  2.651818e-03  2.651818e-03
-2.882243  2.666463e-03  2.666463e-03  2.666463e-03  2.665839e-03  2.665839e-03  2.665839e-03
-2.879942  2.680564e-03  2.680564e-03  2.680564e-03  2.679933e-03  2.679933e-03  2.679933e-03
-2.877640  2.694739e-03  2.694739e-03  2.694739e-03  2.694101e-03  2.694101e-03  2.694101e-03
-2.875339  2.708988e-03  2.708988e-03  2.708988e-03  2.708344e-03  2.708344e-03  2.708344e-03
-2.873038  2.723313e-03  2.723313e-03  2.723313e-03  2.722662e-03  2.722662e-03  2.722662e-03
-2.870737  2.737713e-03  2.737713e-03  2.737713e-03  2.737055e-03  2.737055e-03  2.737055e-03
-2.868436  2.752189e-03  2.752189e-03  2.752189e-03  2.751524e-03  2.751524e-03  2.751524e-03
-2.866135  2.766741e-03  2.766741e-03  2.766741e-03  2.766069e-03  2.766069e-03  2.766069e-03
-2.863834  2.781370e-03  2.781370e-03  2.781370e-03  2.780691e-03  2.780691e-03  2.780691e-03
-2.861533  2.796075e-03  2.796075e-03  2.796075e-03  2.795389e-03  2.795389e-03  2.795389e-03
-2.859232  2.810858e-03  2.810858e-03  2.810858e-03  2.810165e-03  2.810165e-03  2.810165e-03
-2.856931  2.825719e-03  2.825719e-03  2.825719e-03  2.825018e-03  2.825018e-03  2.825018e-03
-2.854630  2.840658e-03  2.840658e-03  2.840658e-03  2.839950e-03  2.839950e-03  2.839950e-03
-2.852329  2.855675e-03  2.855675e-03  2.855675e-03  2.854960e-03  2.854960e-03  2.854960e-03
-2.850028  2.870772e-03  2.870772e-03  2.870772e-03  2.870049e-03  2.870049e-03  2.870049e-03
-2.847727  2.885948e-03  2.885948e-03  2.885948e-03  2.885217e-03  2.885217e-03  2.885217e-03
-2.845426  2.901204e-03  2.901204e-03  2.901204e-03  2.900465e-03  2.900465e-03  2.900465e-03
-2.843125  2.916540e-03  2.916540e-03  2.916540e-03  2.915793e-03  2.915793e-03  2.915793e-03
-2.840824  2.931956e-03  2.931956e-03  2.931956e-03  2.931202e-03  2.931202e-03  2.931202e-03
-2.838523  2.947454e-03  2.947454e-03  2.947454e-03  2.946692e-03  2.946692e-03  2.946692e-03
-2.836222  2.963034e-03  2.963034e-03  2.963034e-03  2.962263e-03  2.962263e-03  2.962263e-03
-2.833921  2.978695e-03  2.978695e-03  2.978695e-03  2.977916e-03  2.977916e-03  2.977916e-03
-2.831620  2.994438e-03  2.994438e-03  2.994438e-03  2.993651e-03  2.993651e-03  2.993651e-03
-2.829319  3.010265e-03  3.010265e-03  3.010265e-03  3.009469e-03  3.009469e-03  3.009469e-03
-2.827018  3.026174e-03  3.026174e-03  3.026174e-03  3.025370e-03  3.025370e-03  3.025370e-03
-2.824717  3.042167e-03  3.042167e-03  3.042167e-03  3.041355e-03  3.041355e-03  3.041355e-03
-2.822416  3.058245e-03  3.058245e-03  3.058245e-03  3.057424e-03  3.057424e-03  3.057424e-03
-2.820115  3.074406e-03  3.074406e-03  3.074406e-03  3.073577e-03  3.073577e-03  3.073577e-03
-2.817814  3.090653e-03  3.090653e-03  3.090653e-03  3.089815e-03  3.089815e-03  3.089815e-03
-2.815513  3.106985e-03  3.106985e-03  3.106985e-03  3.106138e-03  3.106138e-03  3.106138e-03
-2.813212  3.123403e-03  3.123403e-03  3.123403e-03  3.122547e-03  3.122547e-03  3.122547e-03
-2.810911  3.139908e-03  3.139908e-03  3.139908e-03  3.139042e-03  3.139042e-03  3.139042e-03
-2.808610  3.156499e-03  3.156499e-03  3.156499e-03  3.155624e-03  3.155624e-03  3.155624e-03
-2.806309  3.173177e-03  3.173177e-03  3.173177e-03  3.172293e-03  3.172293e-03  3.172293e-03
-2.804008  3.189943e-03  3.189943e-03  3.189943e-03  3.189049e-03  3.189049e-03  3.189049e-03
-2.801706  3.206797e-03  3.206797e-03  3.206797e-03  3.205894e-03  3.205894e-03  3.205894e-03
-2.799405  3.223739e-03  3.223739e-03  3.223739e-03  3.222827e-03  3.222827e-03  3.222827e-03
-2.797104  3.240771e-03  3.240771e-03  3.240771e-03  3.239849e-03  3.239849e-03  3.239849e-03
-2.794803  3.257892e-03  3.257892e-03  3.257892e-03  3.256960e-03  3.256960e-03  3.256960e-03
-2.792502  3.275103e-03  3.275103e-03  3.275103e-03  3.274161e-03  3.274161e-03  3.274161e-03
-2.790201  3.292404e-03  3.292404e-03  3.292404e-03  3.291452e-03  3.291452e-03  3.291452e-03
-2.787900  3.309797e-03  3.309797e-03  3.309797e-03  3.308835e-03  3.308835e-03  3.308835e-03
